product_description,correct_hs_code,country_destination,duty_rate_percent,preferential_rate,fta_applicable,special_requirements
"Uppers and parts thereof, other than stiffeners — unisex",640610,MK,7.5,0.0,CEFTA,Certificate of origin EUR.1
"Outer soles and heels, of rubber or plastics — men",640620,DE,7.5,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Parts of footwear, other — children",640699,FR,7.5,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with uppers of textile, other — women",640520,IT,16.9,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with outer soles of leather, uppers of textile",640420,ES,8.0,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with outer soles of rubber/plastics, uppers of textile, sports",640411,NL,16.9,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with outer soles of rubber/plastics, uppers of textile, other — men",640419,BE,16.9,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with outer soles and uppers of rubber/plastics, other — women",640299,AT,16.9,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
Waterproof footwear with rubber/plastic soles and uppers — men,640110,PL,17.0,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with outer soles of rubber/plastics, uppers of leather, ankle-covering",640391,CZ,8.0,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Uppers and parts thereof, other than stiffeners — children",640610,HR,7.5,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Outer soles and heels, of rubber or plastics",640620,SI,7.5,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Parts of footwear, other",640699,RO,7.5,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with uppers of textile, other",640520,BG,16.9,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with outer soles of leather, uppers of textile",640420,SE,8.0,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with outer soles of rubber/plastics, uppers of textile, sports",640411,DK,16.9,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with outer soles of rubber/plastics, uppers of textile, other — children",640419,US,20.0,20.0,None,FDA; CPSIA
"Footwear with outer soles and uppers of rubber/plastics, other",640299,UK,16.9,16.9,None,UKCA marking; UK REACH
Waterproof footwear with rubber/plastic soles and uppers,640110,CA,15.3,15.3,None,Canada Consumer Product Safety Act
"Footwear with outer soles of rubber/plastics, uppers of leather, ankle-covering — children",640391,CH,8.0,0.0,EFTA-BiH FTA,EUR.1 certificate; Swiss/Norwegian import declaration
"Uppers and parts thereof, other than stiffeners — unisex",640610,NO,7.5,0.0,EFTA-BiH FTA,EUR.1 certificate; Swiss/Norwegian import declaration
"Outer soles and heels, of rubber or plastics",640620,TR,7.5,3.8,Turkey-BiH FTA,ATR certificate; Turkish customs declaration
"Parts of footwear, other — women",640699,RS,7.5,0.0,CEFTA,Certificate of origin EUR.1
"Footwear with uppers of textile, other — men",640520,ME,16.9,0.0,CEFTA,Certificate of origin EUR.1
"Footwear with outer soles of leather, uppers of textile — unisex",640420,MK,8.0,0.0,CEFTA,Certificate of origin EUR.1
"Footwear with outer soles of rubber/plastics, uppers of textile, sports",640411,DE,16.9,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with outer soles of rubber/plastics, uppers of textile, other — women",640419,FR,16.9,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with outer soles and uppers of rubber/plastics, other",640299,IT,16.9,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
Waterproof footwear with rubber/plastic soles and uppers — women,640110,ES,17.0,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with outer soles of rubber/plastics, uppers of leather, ankle-covering",640391,NL,8.0,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Uppers and parts thereof, other than stiffeners",640610,BE,7.5,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Outer soles and heels, of rubber or plastics — children",640620,AT,7.5,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Parts of footwear, other — men",640699,PL,7.5,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with uppers of textile, other — women",640520,CZ,16.9,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with outer soles of leather, uppers of textile — women",640420,HR,8.0,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with outer soles of rubber/plastics, uppers of textile, sports",640411,SI,16.9,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with outer soles of rubber/plastics, uppers of textile, other",640419,RO,16.9,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with outer soles and uppers of rubber/plastics, other",640299,BG,16.9,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
Waterproof footwear with rubber/plastic soles and uppers,640110,SE,17.0,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with outer soles of rubber/plastics, uppers of leather, ankle-covering — men",640391,DK,8.0,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Uppers and parts thereof, other than stiffeners — women",640610,US,5.1,5.1,None,FDA; CPSIA
"Outer soles and heels, of rubber or plastics — men",640620,UK,7.5,7.5,None,UKCA marking; UK REACH
"Parts of footwear, other — children",640699,CA,6.8,6.8,None,Canada Consumer Product Safety Act
"Footwear with uppers of textile, other",640520,CH,16.9,0.0,EFTA-BiH FTA,EUR.1 certificate; Swiss/Norwegian import declaration
"Footwear with outer soles of leather, uppers of textile — unisex",640420,NO,8.0,0.0,EFTA-BiH FTA,EUR.1 certificate; Swiss/Norwegian import declaration
"Footwear with outer soles of rubber/plastics, uppers of textile, sports",640411,TR,16.9,8.4,Turkey-BiH FTA,ATR certificate; Turkish customs declaration
"Footwear with outer soles of rubber/plastics, uppers of textile, other",640419,RS,16.9,0.0,CEFTA,Certificate of origin EUR.1
"Footwear with outer soles and uppers of rubber/plastics, other — unisex",640299,ME,16.9,0.0,CEFTA,Certificate of origin EUR.1
Waterproof footwear with rubber/plastic soles and uppers — unisex,640110,MK,17.0,0.0,CEFTA,Certificate of origin EUR.1
"Footwear with outer soles of rubber/plastics, uppers of leather, ankle-covering — women",640391,DE,8.0,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Uppers and parts thereof, other than stiffeners — women",640610,FR,7.5,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Outer soles and heels, of rubber or plastics — children",640620,IT,7.5,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Parts of footwear, other",640699,ES,7.5,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with uppers of textile, other",640520,NL,16.9,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with outer soles of leather, uppers of textile",640420,BE,8.0,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with outer soles of rubber/plastics, uppers of textile, sports",640411,AT,16.9,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with outer soles of rubber/plastics, uppers of textile, other — children",640419,PL,16.9,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with outer soles and uppers of rubber/plastics, other",640299,CZ,16.9,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
Waterproof footwear with rubber/plastic soles and uppers,640110,HR,17.0,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with outer soles of rubber/plastics, uppers of leather, ankle-covering — children",640391,SI,8.0,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Uppers and parts thereof, other than stiffeners",640610,RO,7.5,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Outer soles and heels, of rubber or plastics — women",640620,BG,7.5,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Parts of footwear, other",640699,SE,7.5,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with uppers of textile, other — women",640520,DK,16.9,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with outer soles of leather, uppers of textile — unisex",640420,US,10.0,10.0,None,FDA; CPSIA
"Footwear with outer soles of rubber/plastics, uppers of textile, sports — children",640411,UK,16.9,16.9,None,UKCA marking; UK REACH
"Footwear with outer soles of rubber/plastics, uppers of textile, other",640419,CA,15.2,15.2,None,Canada Consumer Product Safety Act
"Footwear with outer soles and uppers of rubber/plastics, other — unisex",640299,CH,16.9,0.0,EFTA-BiH FTA,EUR.1 certificate; Swiss/Norwegian import declaration
Waterproof footwear with rubber/plastic soles and uppers,640110,NO,17.0,0.0,EFTA-BiH FTA,EUR.1 certificate; Swiss/Norwegian import declaration
"Footwear with outer soles of rubber/plastics, uppers of leather, ankle-covering",640391,TR,8.0,4.0,Turkey-BiH FTA,ATR certificate; Turkish customs declaration
"Uppers and parts thereof, other than stiffeners — men",640610,RS,7.5,0.0,CEFTA,Certificate of origin EUR.1
"Outer soles and heels, of rubber or plastics — unisex",640620,ME,7.5,0.0,CEFTA,Certificate of origin EUR.1
"Parts of footwear, other",640699,MK,7.5,0.0,CEFTA,Certificate of origin EUR.1
"Footwear with uppers of textile, other — men",640520,DE,16.9,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with outer soles of leather, uppers of textile — women",640420,FR,8.0,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with outer soles of rubber/plastics, uppers of textile, sports — children",640411,IT,16.9,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with outer soles of rubber/plastics, uppers of textile, other",640419,ES,16.9,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with outer soles and uppers of rubber/plastics, other",640299,NL,16.9,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
Waterproof footwear with rubber/plastic soles and uppers — women,640110,BE,17.0,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with outer soles of rubber/plastics, uppers of leather, ankle-covering",640391,AT,8.0,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Uppers and parts thereof, other than stiffeners — unisex",640610,PL,7.5,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Outer soles and heels, of rubber or plastics",640620,CZ,7.5,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Parts of footwear, other",640699,HR,7.5,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with uppers of textile, other — unisex",640520,SI,16.9,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
"Footwear with outer soles of leather, uppers of textile — children",640420,RO,8.0,0.0,SAA BiH-EU,CE marking; REACH; EU DPP 2027+
