po_number,date,supplier,material_id,qty_ordered,qty_received,unit_price,total_eur,expected_delivery,actual_delivery,delay_days,quality_score
PO-01115,2025-05-26,Covestro AG,MAT_0273,1337,1337,8.07,10788.24,2025-06-03,2025-06-03,0,4
PO-01034,2025-05-26,Crocs Inc (supplied),MAT_0048,663,663,9.27,6144.2,2025-06-26,2025-06-26,0,4
PO-00155,2025-05-26,Texon International,MAT_0135,730,730,2.89,2106.12,2025-06-10,2025-06-10,0,5
PO-00790,2025-05-26,Gomma Padana,MAT_0130,914,914,15.98,14602.42,2025-06-08,2025-06-08,0,1
PO-00228,2025-05-26,Zecchetto Accessori,MAT_0496,5038,5038,0.73,3698.09,2025-06-03,2025-06-03,0,5
PO-01815,2025-05-26,Shenzhen Minghui,MAT_0385,21384,21384,0.03,638.96,2025-07-02,2025-07-02,0,4
PO-00130,2025-05-26,Covestro AG,MAT_0279,1736,1736,9.07,15751.31,2025-06-05,2025-06-05,0,4
PO-00356,2025-05-26,Henkel AG,MAT_0250,111,111,23.21,2576.22,2025-06-04,2025-06-04,0,5
PO-00224,2025-05-26,Gomma Padana,MAT_0291,145,145,16.58,2404.33,2025-06-07,2025-06-07,0,4
PO-01564,2025-05-27,Zecchetto Accessori,MAT_0359,2220,2220,0.77,1707.78,2025-06-10,2025-06-11,1,4
PO-01089,2025-05-27,Gomma Padana,MAT_0140,457,457,13.92,6359.96,2025-06-09,2025-06-12,3,4
PO-00396,2025-05-27,Foam Italia,MAT_0477,1111,1111,4.26,4731.72,2025-06-11,2025-06-15,4,2
PO-00090,2025-05-27,Global Trim,MAT_0346,3330,3330,0.12,390.92,2025-07-04,2025-07-04,0,4
PO-01014,2025-05-27,Toray Industries,MAT_0177,445,445,17.2,7656.13,2025-07-21,2025-07-21,0,5
PO-01782,2025-05-27,Texon International,MAT_0271,531,531,3.17,1685.15,2025-06-16,2025-06-18,2,4
PO-01669,2025-05-27,Zhejiang Paper,MAT_0172,6826,6826,0.09,612.56,2025-06-27,2025-06-27,0,4
PO-00640,2025-05-27,Zhejiang Paper,MAT_0347,6096,6096,0.07,433.26,2025-06-26,2025-06-26,0,4
PO-01329,2025-05-28,Karteks Banja Luka,MAT_0018,9587,9587,0.57,5442.88,2025-06-01,2025-06-01,0,5
PO-01910,2025-05-28,Gomma Padana,MAT_0169,1059,1059,12.37,13103.66,2025-06-04,2025-06-11,7,5
PO-00206,2025-05-28,NXP Semiconductors,MAT_0382,1234,1234,0.4,495.4,2025-06-13,2025-06-14,1,3
PO-01129,2025-05-28,American & Efird,MAT_0124,273,273,7.61,2076.92,2025-07-04,2025-07-04,0,5
PO-00081,2025-05-28,Texon International,MAT_0271,1117,1117,3.3,3683.55,2025-06-17,2025-06-17,0,3
PO-00712,2025-05-28,Gomma Padana,MAT_0206,711,711,12.2,8674.87,2025-06-09,2025-06-10,1,5
PO-00166,2025-05-29,Henkel AG,MAT_0014,676,676,22.58,15262.87,2025-06-12,2025-06-12,0,5
PO-00822,2025-05-29,Gomma Padana,MAT_0190,382,382,13.6,5195.07,2025-06-12,2025-06-12,0,4
PO-00384,2025-05-29,Coats Group,MAT_0462,1110,1110,6.71,7452.19,2025-06-12,2025-06-12,0,4
PO-01040,2025-05-29,Foam Italia,MAT_0004,2522,2522,4.13,10412.7,2025-06-14,2025-06-14,0,3
PO-00257,2025-05-29,Zhejiang Paper,MAT_0387,2778,2778,0.08,227.3,2025-06-29,2025-06-29,0,3
PO-00794,2025-05-29,American & Efird,MAT_0093,463,463,5.96,2759.68,2025-06-30,2025-06-30,0,4
PO-01413,2025-05-29,Gomma Padana,MAT_0306,1695,1092,11.62,12691.56,2025-06-13,2025-06-13,0,4
PO-01281,2025-05-30,Toray Composite,MAT_0059,315,315,47.53,14971.54,2025-07-20,2025-07-20,0,4
PO-01019,2025-05-30,Global Trim,MAT_0480,15714,15714,0.11,1690.91,2025-07-04,2025-07-04,0,2
PO-01605,2025-05-30,Shenzhen Minghui,MAT_0187,3232,3232,0.04,130.23,2025-07-10,2025-07-10,0,4
PO-00916,2025-05-30,Zhejiang Paper,MAT_0370,12107,12107,0.07,833.53,2025-06-29,2025-07-05,6,3
PO-01300,2025-05-30,Zecchetto Accessori,MAT_0411,1033,1033,0.93,955.65,2025-06-15,2025-06-15,0,3
PO-01381,2025-05-30,Crocs Inc (supplied),MAT_0025,367,367,8.28,3037.5,2025-07-03,2025-07-03,0,2
PO-01458,2025-05-30,Shenzhen Minghui,MAT_0187,5676,5676,0.04,225.68,2025-07-10,2025-07-10,0,5
PO-00351,2025-05-30,Toray Industries,MAT_0471,806,806,20.24,16315.38,2025-07-11,2025-07-20,9,4
PO-00247,2025-05-31,Shenzhen Minghui,MAT_0187,7960,5486,0.04,215.11,2025-07-11,2025-07-11,0,4
PO-01449,2025-05-31,Karteks Banja Luka,MAT_0433,1089,1089,0.71,771.73,2025-06-04,2025-06-04,0,5
PO-00109,2025-05-31,Shenzhen Minghui,MAT_0187,15249,15249,0.04,592.56,2025-07-11,2025-07-11,0,5
PO-01520,2025-05-31,Global Trim,MAT_0466,15311,15311,0.11,1688.13,2025-07-15,2025-07-19,4,5
PO-00299,2025-05-31,Crocs Inc (supplied),MAT_0318,527,527,7.28,3838.52,2025-07-04,2025-07-17,13,4
PO-01907,2025-06-01,Toray Composite,MAT_0369,166,166,43.91,7288.96,2025-07-09,2025-07-11,2,2
PO-01524,2025-06-01,NXP Semiconductors,MAT_0270,2337,2337,0.39,907.56,2025-06-10,2025-06-10,0,4
PO-01799,2025-06-01,Crocs Inc (supplied),MAT_0147,1336,1336,9.8,13088.33,2025-06-30,2025-07-10,10,4
PO-00579,2025-06-01,Texon International,MAT_0281,751,641,3.52,2258.82,2025-06-13,2025-06-13,0,5
PO-01739,2025-06-01,Toray Industries,MAT_0452,564,564,17.32,9766.04,2025-07-12,2025-07-12,0,5
PO-02000,2025-06-01,Toray Composite,MAT_0012,342,342,45.12,15430.53,2025-07-22,2025-07-22,0,5
PO-00391,2025-06-01,Shenzhen Minghui,MAT_0406,5717,5717,0.03,169.05,2025-07-09,2025-07-09,0,4
PO-00054,2025-06-01,Toray Composite,MAT_0390,188,188,47.56,8940.73,2025-07-25,2025-07-25,0,4
PO-00032,2025-06-01,Shenzhen Minghui,MAT_0385,25822,25822,0.03,793.49,2025-07-08,2025-07-08,0,4
PO-01387,2025-06-02,Crocs Inc (supplied),MAT_0318,288,288,7.33,2110.69,2025-07-06,2025-07-06,0,4
PO-01545,2025-06-03,Crocs Inc (supplied),MAT_0204,1263,1263,8.7,10988.48,2025-07-01,2025-07-01,0,5
PO-00382,2025-06-03,Zecchetto Accessori,MAT_0437,1338,1338,1.06,1413.52,2025-06-10,2025-06-12,2,4
PO-01728,2025-06-03,Texon International,MAT_0248,997,997,2.88,2867.3,2025-06-15,2025-06-15,0,5
PO-00813,2025-06-04,Karteks Banja Luka,MAT_0018,9886,9886,0.59,5827.06,2025-06-08,2025-06-08,0,5
PO-01417,2025-06-04,Far Eastern Textile,MAT_0158,1070,1070,3.75,4015.37,2025-07-08,2025-07-08,0,4
PO-00339,2025-06-04,Gomma Padana,MAT_0131,804,804,13.05,10494.64,2025-06-13,2025-06-13,0,3
PO-00413,2025-06-04,Zhejiang Paper,MAT_0294,21418,21418,0.08,1664.47,2025-07-04,2025-07-11,7,5
PO-01973,2025-06-05,Toray Industries,MAT_0096,936,936,21.29,19930.71,2025-07-21,2025-07-21,0,5
PO-01957,2025-06-05,Toray Composite,MAT_0390,89,89,46.4,4129.84,2025-07-29,2025-07-29,0,4
PO-01703,2025-06-05,Global Trim,MAT_0315,4761,4761,0.14,665.71,2025-07-08,2025-07-08,0,5
PO-00955,2025-06-05,Henkel AG,MAT_0152,247,247,15.1,3730.75,2025-06-17,2025-06-17,0,5
PO-01620,2025-06-05,Zhejiang Paper,MAT_0387,2222,2222,0.08,180.76,2025-07-06,2025-07-06,0,5
PO-00327,2025-06-05,American & Efird,MAT_0155,774,774,6.95,5381.33,2025-07-11,2025-07-11,0,4
PO-00460,2025-06-05,Toray Industries,MAT_0274,352,352,17.09,6016.34,2025-07-14,2025-07-14,0,3
PO-01151,2025-06-06,Zecchetto Accessori,MAT_0184,2739,2739,1.0,2751.68,2025-06-16,2025-06-16,0,3
PO-01314,2025-06-06,Coats Group,MAT_0045,336,336,5.61,1883.49,2025-06-18,2025-06-18,0,5
PO-01919,2025-06-06,Zhejiang Paper,MAT_0370,14516,14516,0.07,1006.37,2025-07-06,2025-07-07,1,4
PO-00647,2025-06-06,Zecchetto Accessori,MAT_0120,1034,1034,0.79,814.05,2025-06-24,2025-06-30,6,4
PO-01279,2025-06-06,Texon International,MAT_0205,1608,1608,3.33,5354.38,2025-06-27,2025-06-27,0,3
PO-01293,2025-06-06,Toray Composite,MAT_0059,209,209,47.44,9915.51,2025-07-27,2025-07-27,0,4
PO-00670,2025-06-06,Covestro AG,MAT_0311,223,223,9.06,2020.43,2025-06-18,2025-06-18,0,4
PO-00159,2025-06-06,Zhejiang Paper,MAT_0305,5736,5736,0.09,516.44,2025-07-11,2025-07-11,0,5
PO-00442,2025-06-07,American & Efird,MAT_0442,1191,1191,7.31,8705.68,2025-07-05,2025-07-06,1,5
PO-01371,2025-06-07,Crocs Inc (supplied),MAT_0025,469,469,8.07,3786.28,2025-07-11,2025-07-12,1,5
PO-00774,2025-06-07,Far Eastern Textile,MAT_0288,1476,1476,3.6,5307.91,2025-07-21,2025-07-21,0,5
PO-01654,2025-06-07,Foam Italia,MAT_0298,3437,3437,3.84,13195.18,2025-06-21,2025-06-24,3,5
PO-01825,2025-06-07,Zecchetto Accessori,MAT_0401,3759,3759,0.9,3387.56,2025-06-15,2025-06-15,0,5
PO-01601,2025-06-08,American & Efird,MAT_0109,836,836,5.76,4817.6,2025-07-14,2025-07-14,0,4
PO-00827,2025-06-08,Covestro AG,MAT_0133,479,479,8.6,4120.33,2025-06-22,2025-07-07,15,4
PO-00411,2025-06-08,Covestro AG,MAT_0256,223,223,9.3,2073.55,2025-06-15,2025-06-16,1,4
PO-01289,2025-06-08,American & Efird,MAT_0388,562,562,6.96,3913.92,2025-07-03,2025-07-03,0,5
PO-01983,2025-06-09,Toray Industries,MAT_0374,738,738,17.34,12794.34,2025-07-31,2025-07-31,0,4
PO-01198,2025-06-09,Texon International,MAT_0069,871,871,3.89,3388.71,2025-06-30,2025-07-01,1,4
PO-01131,2025-06-09,Zecchetto Accessori,MAT_0227,1067,1067,1.01,1082.61,2025-06-25,2025-06-25,0,3
PO-01749,2025-06-09,Henkel AG,MAT_0202,554,554,19.38,10735.0,2025-06-21,2025-06-22,1,4
PO-01676,2025-06-09,Far Eastern Textile,MAT_0119,2938,2938,2.77,8137.33,2025-07-25,2025-08-02,8,3
PO-01851,2025-06-09,Covestro AG,MAT_0487,1006,1006,11.21,11280.64,2025-06-24,2025-06-24,0,4
PO-00352,2025-06-09,Texon International,MAT_0094,470,470,2.75,1291.83,2025-06-26,2025-06-28,2,4
PO-00866,2025-06-09,Foam Italia,MAT_0086,2393,2393,4.13,9881.27,2025-06-25,2025-06-25,0,5
PO-01689,2025-06-10,NXP Semiconductors,MAT_0418,8233,8233,0.43,3534.75,2025-06-24,2025-07-05,11,4
PO-00711,2025-06-10,Toray Composite,MAT_0162,449,372,47.72,17750.43,2025-07-23,2025-07-23,0,5
PO-00731,2025-06-10,Karteks Banja Luka,MAT_0445,9696,9696,0.68,6593.21,2025-06-13,2025-06-14,1,5
PO-01530,2025-06-10,Crocs Inc (supplied),MAT_0208,557,557,10.08,5612.89,2025-07-14,2025-07-15,1,5
PO-01840,2025-06-10,Gomma Padana,MAT_0130,1174,1174,16.75,19663.28,2025-06-23,2025-06-23,0,4
PO-01857,2025-06-10,Zecchetto Accessori,MAT_0474,3017,3017,0.95,2855.02,2025-06-21,2025-06-27,6,4
PO-01509,2025-06-11,Foam Italia,MAT_0047,1213,1213,4.26,5166.93,2025-06-24,2025-06-24,0,4
PO-00251,2025-06-11,Far Eastern Textile,MAT_0033,1151,1151,3.79,4363.03,2025-07-23,2025-07-23,0,5
PO-00608,2025-06-11,Gomma Padana,MAT_0130,568,568,16.37,9298.22,2025-06-24,2025-06-24,0,5
PO-01528,2025-06-12,Foam Italia,MAT_0150,2159,2159,4.65,10033.7,2025-06-20,2025-06-20,0,1
PO-00478,2025-06-12,Henkel AG,MAT_0043,545,545,17.47,9520.43,2025-06-19,2025-06-19,0,4
PO-00067,2025-06-12,Foam Italia,MAT_0164,1594,1594,4.56,7266.75,2025-06-19,2025-06-19,0,5
PO-01772,2025-06-12,NXP Semiconductors,MAT_0415,1928,1928,0.52,1006.81,2025-06-26,2025-07-04,8,1
PO-01666,2025-06-13,Gomma Padana,MAT_0011,766,766,14.29,10948.06,2025-07-01,2025-07-01,0,5
PO-00315,2025-06-13,Toray Industries,MAT_0100,824,824,17.35,14292.42,2025-07-28,2025-07-28,0,4
PO-01937,2025-06-13,Crocs Inc (supplied),MAT_0048,250,250,9.66,2415.11,2025-07-14,2025-07-14,0,4
PO-00030,2025-06-13,Gomma Padana,MAT_0210,407,407,15.94,6485.96,2025-06-21,2025-07-03,12,4
PO-00255,2025-06-13,NXP Semiconductors,MAT_0479,1579,1579,0.47,742.86,2025-06-21,2025-06-24,3,4
PO-01141,2025-06-13,Far Eastern Textile,MAT_0456,1186,1186,3.3,3918.68,2025-07-23,2025-08-22,30,5
PO-00577,2025-06-13,American & Efird,MAT_0021,1188,1188,6.86,8151.98,2025-07-23,2025-07-23,0,5
PO-01470,2025-06-14,Crocs Inc (supplied),MAT_0122,831,831,7.89,6560.35,2025-07-12,2025-07-12,0,4
PO-00765,2025-06-14,Foam Italia,MAT_0031,1274,1274,4.37,5563.89,2025-06-28,2025-06-28,0,3
PO-00458,2025-06-14,Global Trim,MAT_0341,9178,9178,0.11,1022.56,2025-07-25,2025-07-25,0,5
PO-00686,2025-06-15,American & Efird,MAT_0021,457,457,6.66,3044.3,2025-07-25,2025-07-25,0,5
PO-00557,2025-06-15,American & Efird,MAT_0155,1134,1134,6.74,7639.08,2025-07-21,2025-07-21,0,5
PO-00484,2025-06-15,Texon International,MAT_0098,289,289,4.19,1211.09,2025-07-03,2025-07-03,0,4
PO-00680,2025-06-16,Karteks Banja Luka,MAT_0361,3539,3539,0.68,2391.06,2025-06-20,2025-06-20,0,5
PO-00944,2025-06-16,Coats Group,MAT_0195,1463,1463,5.67,8297.12,2025-07-03,2025-07-04,1,5
PO-00838,2025-06-16,Zecchetto Accessori,MAT_0469,1111,1111,1.0,1107.02,2025-06-23,2025-06-23,0,4
PO-00853,2025-06-16,Toray Composite,MAT_0372,112,112,39.46,4419.73,2025-07-23,2025-07-23,0,5
PO-01801,2025-06-16,Texon International,MAT_0235,303,303,3.61,1092.35,2025-07-01,2025-07-01,0,5
PO-00753,2025-06-16,American & Efird,MAT_0124,397,397,7.46,2961.1,2025-07-23,2025-07-23,0,4
PO-01931,2025-06-17,Crocs Inc (supplied),MAT_0204,1378,1378,8.65,11917.57,2025-07-15,2025-07-16,1,2
PO-00967,2025-06-17,Zecchetto Accessori,MAT_0429,2164,2164,0.76,1641.52,2025-06-28,2025-06-28,0,4
PO-00703,2025-06-17,Zhejiang Paper,MAT_0172,6725,6725,0.09,595.17,2025-07-18,2025-07-18,0,5
PO-01436,2025-06-17,Crocs Inc (supplied),MAT_0025,860,860,8.16,7016.65,2025-07-21,2025-07-21,0,3
PO-00921,2025-06-17,Gomma Padana,MAT_0181,1670,1256,15.13,19005.35,2025-07-01,2025-07-01,0,4
PO-01405,2025-06-17,Far Eastern Textile,MAT_0457,1507,1507,4.25,6403.73,2025-07-20,2025-07-20,0,4
PO-01394,2025-06-17,Coats Group,MAT_0038,544,544,5.25,2856.77,2025-07-08,2025-07-09,1,5
PO-00084,2025-06-17,American & Efird,MAT_0155,1276,1276,6.73,8586.98,2025-07-23,2025-07-23,0,3
PO-00281,2025-06-17,Texon International,MAT_0127,2906,2906,3.01,8746.47,2025-06-28,2025-06-28,0,3
PO-01260,2025-06-17,Far Eastern Textile,MAT_0456,1000,1000,3.19,3194.1,2025-07-27,2025-07-27,0,5
PO-01259,2025-06-17,Karteks Banja Luka,MAT_0128,1570,1570,0.68,1067.95,2025-06-20,2025-06-20,0,4
PO-00700,2025-06-18,Toray Composite,MAT_0216,84,84,38.53,3236.18,2025-08-06,2025-08-06,0,4
PO-01438,2025-06-18,Far Eastern Textile,MAT_0153,798,798,4.25,3390.28,2025-07-19,2025-07-20,1,4
PO-01397,2025-06-18,NXP Semiconductors,MAT_0073,3343,3343,0.46,1528.87,2025-07-02,2025-07-02,0,4
PO-00477,2025-06-19,Shenzhen Minghui,MAT_0284,28030,28030,0.03,827.16,2025-07-28,2025-07-28,0,5
PO-01711,2025-06-19,Foam Italia,MAT_0047,579,579,4.26,2468.72,2025-07-02,2025-07-02,0,4
PO-00634,2025-06-19,Foam Italia,MAT_0150,1203,1203,4.52,5442.02,2025-06-27,2025-07-05,8,4
PO-01903,2025-06-19,Texon International,MAT_0248,2195,2195,2.82,6197.97,2025-07-01,2025-07-01,0,4
PO-01696,2025-06-19,Foam Italia,MAT_0353,502,502,3.8,1909.5,2025-06-26,2025-06-26,0,3
PO-01577,2025-06-20,Gomma Padana,MAT_0190,267,267,13.49,3601.86,2025-07-04,2025-07-04,0,5
PO-01624,2025-06-20,Shenzhen Minghui,MAT_0284,23695,23695,0.03,706.89,2025-07-29,2025-07-29,0,4
PO-00679,2025-06-21,American & Efird,MAT_0366,352,352,7.05,2482.24,2025-07-30,2025-07-30,0,4
PO-00714,2025-06-21,Karteks Banja Luka,MAT_0373,3531,3531,0.53,1887.51,2025-06-25,2025-06-26,1,5
PO-01796,2025-06-21,Toray Industries,MAT_0443,384,317,20.58,6522.93,2025-08-02,2025-08-02,0,4
PO-00897,2025-06-21,American & Efird,MAT_0207,319,319,6.49,2069.98,2025-07-29,2025-08-10,12,1
PO-00594,2025-06-21,Shenzhen Minghui,MAT_0189,15559,9571,0.03,283.02,2025-07-25,2025-07-26,1,3
PO-01488,2025-06-22,American & Efird,MAT_0442,666,666,7.23,4812.76,2025-07-20,2025-07-20,0,5
PO-01385,2025-06-22,Karteks Banja Luka,MAT_0080,8299,8299,0.52,4335.07,2025-06-26,2025-07-04,8,5
PO-01686,2025-06-22,Coats Group,MAT_0038,1590,1590,5.0,7944.77,2025-07-13,2025-07-13,0,4
PO-01943,2025-06-22,Zhejiang Paper,MAT_0387,8269,8269,0.08,652.83,2025-07-23,2025-07-23,0,4
PO-00018,2025-06-23,Foam Italia,MAT_0081,2314,2314,3.72,8606.42,2025-07-05,2025-07-05,0,4
PO-00294,2025-06-23,Toray Composite,MAT_0162,418,418,46.9,19605.96,2025-08-05,2025-08-05,0,4
PO-00956,2025-06-23,Shenzhen Minghui,MAT_0189,15824,15824,0.03,475.88,2025-07-27,2025-07-27,0,3
PO-00202,2025-06-23,Zecchetto Accessori,MAT_0475,3592,3592,1.01,3629.7,2025-07-08,2025-07-08,0,5
PO-00023,2025-06-23,Shenzhen Minghui,MAT_0187,7451,7451,0.04,290.71,2025-08-03,2025-08-05,2,4
PO-00044,2025-06-23,Global Trim,MAT_0171,7701,7701,0.12,925.15,2025-07-27,2025-07-30,3,4
PO-01071,2025-06-23,Zhejiang Paper,MAT_0294,9112,9112,0.08,741.65,2025-07-23,2025-07-23,0,4
PO-00733,2025-06-23,Coats Group,MAT_0075,818,818,6.44,5267.56,2025-07-12,2025-07-12,0,4
PO-00517,2025-06-23,Covestro AG,MAT_0258,661,661,8.63,5701.96,2025-07-05,2025-07-05,0,3
PO-00218,2025-06-24,Karteks Banja Luka,MAT_0074,3294,3294,0.53,1761.2,2025-06-28,2025-06-29,1,1
PO-00964,2025-06-24,Zhejiang Paper,MAT_0305,5657,5657,0.09,494.4,2025-07-29,2025-07-29,0,5
PO-01965,2025-06-24,Toray Composite,MAT_0372,181,181,40.76,7376.79,2025-07-31,2025-08-01,1,5
PO-01684,2025-06-24,Henkel AG,MAT_0321,793,602,22.83,13744.67,2025-07-05,2025-07-05,0,5
PO-00569,2025-06-24,Henkel AG,MAT_0091,217,217,23.12,5016.74,2025-07-05,2025-07-05,0,4
PO-00135,2025-06-24,Foam Italia,MAT_0054,1752,1752,4.64,8131.47,2025-07-06,2025-07-06,0,5
PO-01297,2025-06-24,Toray Composite,MAT_0389,63,63,39.61,2495.62,2025-08-05,2025-08-06,1,4
PO-00164,2025-06-25,Zhejiang Paper,MAT_0294,20638,20638,0.08,1679.53,2025-07-25,2025-07-25,0,4
PO-01986,2025-06-25,Shenzhen Minghui,MAT_0439,14438,11589,0.04,474.75,2025-07-31,2025-07-31,0,1
PO-01523,2025-06-25,Far Eastern Textile,MAT_0158,3124,3124,3.57,11160.79,2025-07-29,2025-07-29,0,4
PO-01661,2025-06-25,Toray Industries,MAT_0049,1098,1098,18.96,20813.25,2025-08-05,2025-08-05,0,4
PO-00143,2025-06-25,Toray Composite,MAT_0059,176,176,46.18,8126.85,2025-08-15,2025-08-15,0,1
PO-00426,2025-06-26,Foam Italia,MAT_0039,598,598,5.91,3532.96,2025-07-07,2025-07-07,0,4
PO-01445,2025-06-26,Far Eastern Textile,MAT_0362,889,747,2.87,2144.88,2025-08-01,2025-08-01,0,3
PO-01327,2025-06-26,Toray Composite,MAT_0012,293,293,45.36,13291.46,2025-08-16,2025-09-10,25,4
PO-00976,2025-06-26,American & Efird,MAT_0420,946,946,6.67,6305.98,2025-08-02,2025-08-02,0,2
PO-01575,2025-06-26,Global Trim,MAT_0346,3937,3937,0.12,476.65,2025-08-03,2025-08-05,2,3
PO-00178,2025-06-27,Toray Composite,MAT_0295,248,248,37.94,9408.7,2025-08-12,2025-08-12,0,1
PO-00493,2025-06-27,Shenzhen Minghui,MAT_0284,17899,17899,0.03,532.36,2025-08-05,2025-08-05,0,2
PO-00341,2025-06-27,Far Eastern Textile,MAT_0371,1446,1446,2.99,4322.25,2025-07-29,2025-07-29,0,4
PO-01939,2025-06-27,Crocs Inc (supplied),MAT_0122,1523,1523,7.69,11714.71,2025-07-25,2025-07-26,1,4
PO-01798,2025-06-27,Global Trim,MAT_0314,8203,8203,0.12,976.45,2025-08-08,2025-08-08,0,4
PO-00912,2025-06-28,Shenzhen Minghui,MAT_0284,25465,15486,0.03,469.88,2025-08-06,2025-08-06,0,4
PO-00729,2025-06-28,Crocs Inc (supplied),MAT_0204,1275,1275,8.39,10702.24,2025-07-26,2025-07-26,0,5
PO-00561,2025-06-28,Global Trim,MAT_0036,11647,11647,0.1,1134.22,2025-07-28,2025-07-28,0,4
PO-01704,2025-06-28,Henkel AG,MAT_0088,516,516,19.84,10236.69,2025-07-11,2025-07-11,0,5
PO-01222,2025-06-28,Karteks Banja Luka,MAT_0078,5809,5809,0.73,4254.55,2025-07-02,2025-07-02,0,5
PO-01193,2025-06-29,Shenzhen Minghui,MAT_0070,12176,12176,0.03,361.36,2025-08-09,2025-08-09,0,3
PO-01050,2025-06-29,Texon International,MAT_0094,689,689,2.8,1927.97,2025-07-16,2025-07-16,0,5
PO-01831,2025-06-29,Foam Italia,MAT_0477,1436,1436,4.32,6202.15,2025-07-14,2025-07-20,6,5
PO-01062,2025-06-29,Toray Industries,MAT_0188,988,988,19.65,19416.6,2025-08-18,2025-08-18,0,3
PO-00898,2025-06-30,NXP Semiconductors,MAT_0491,6844,6844,0.46,3125.0,2025-07-15,2025-07-15,0,3
PO-01806,2025-06-30,Foam Italia,MAT_0428,1190,1190,4.28,5095.08,2025-07-12,2025-07-12,0,3
PO-01130,2025-06-30,Zhejiang Paper,MAT_0019,10518,10518,0.08,845.95,2025-08-14,2025-08-14,0,4
PO-01223,2025-06-30,Karteks Banja Luka,MAT_0433,4110,4110,0.71,2938.01,2025-07-04,2025-07-04,0,4
PO-00370,2025-06-30,Foam Italia,MAT_0428,2618,2618,4.31,11278.08,2025-07-12,2025-07-12,0,4
PO-01135,2025-06-30,Coats Group,MAT_0245,1208,1208,5.14,6209.14,2025-07-15,2025-07-25,10,4
PO-01566,2025-07-01,Coats Group,MAT_0485,930,930,6.31,5868.11,2025-07-21,2025-07-21,0,4
PO-00815,2025-07-01,Zhejiang Paper,MAT_0083,6389,6389,0.07,458.71,2025-08-14,2025-08-23,9,4
PO-01078,2025-07-01,Texon International,MAT_0235,1194,1194,3.6,4300.1,2025-07-16,2025-07-16,0,4
PO-01238,2025-07-02,Henkel AG,MAT_0152,237,237,14.71,3486.93,2025-07-14,2025-07-14,0,5
PO-00927,2025-07-02,Toray Industries,MAT_0106,553,553,16.72,9244.2,2025-08-15,2025-08-15,0,4
PO-00613,2025-07-02,Coats Group,MAT_0038,659,659,5.17,3405.93,2025-07-23,2025-07-26,3,5
PO-01307,2025-07-02,Far Eastern Textile,MAT_0099,430,430,3.2,1376.41,2025-08-18,2025-08-18,0,5
PO-00635,2025-07-02,NXP Semiconductors,MAT_0418,5896,5896,0.43,2548.54,2025-07-16,2025-07-16,0,5
PO-00116,2025-07-02,Zecchetto Accessori,MAT_0356,3619,3619,0.93,3365.49,2025-07-12,2025-07-12,0,5
PO-01510,2025-07-02,Toray Industries,MAT_0317,745,745,19.58,14587.02,2025-08-06,2025-08-06,0,4
PO-00292,2025-07-02,Karteks Banja Luka,MAT_0220,7444,6433,0.67,4313.67,2025-07-05,2025-07-05,0,3
PO-00266,2025-07-03,Coats Group,MAT_0195,401,401,5.8,2326.79,2025-07-20,2025-07-20,0,3
PO-01586,2025-07-03,Foam Italia,MAT_0089,1447,1447,3.22,4663.09,2025-07-10,2025-07-10,0,4
PO-01581,2025-07-03,Coats Group,MAT_0195,1577,1144,5.9,6754.23,2025-07-20,2025-07-20,0,4
PO-00343,2025-07-03,Zecchetto Accessori,MAT_0483,5894,5894,1.03,6048.85,2025-07-10,2025-07-10,0,4
PO-01504,2025-07-04,Toray Industries,MAT_0072,987,987,16.94,16716.46,2025-08-20,2025-08-21,1,2
PO-00932,2025-07-04,Crocs Inc (supplied),MAT_0147,398,398,9.58,3814.26,2025-08-02,2025-08-15,13,1
PO-00009,2025-07-04,Zecchetto Accessori,MAT_0015,2306,2306,0.81,1863.39,2025-07-17,2025-07-17,0,4
PO-01301,2025-07-04,Zhejiang Paper,MAT_0494,9495,9495,0.08,766.73,2025-08-08,2025-08-08,0,4
PO-00749,2025-07-04,NXP Semiconductors,MAT_0073,3868,3868,0.47,1828.69,2025-07-18,2025-07-18,0,4
PO-00256,2025-07-04,NXP Semiconductors,MAT_0282,2227,2227,0.42,938.92,2025-07-14,2025-07-19,5,5
PO-01978,2025-07-05,NXP Semiconductors,MAT_0247,9646,9646,0.52,5053.64,2025-07-21,2025-07-23,2,3
PO-00947,2025-07-05,Texon International,MAT_0354,916,916,3.51,3212.78,2025-07-21,2025-07-24,3,5
PO-01360,2025-07-05,Shenzhen Minghui,MAT_0187,4792,4792,0.04,192.18,2025-08-15,2025-08-16,1,5
PO-00736,2025-07-05,Coats Group,MAT_0075,768,768,6.36,4887.08,2025-07-24,2025-07-24,0,3
PO-01599,2025-07-05,Far Eastern Textile,MAT_0378,1858,1858,3.38,6288.53,2025-08-19,2025-08-19,0,4
PO-01630,2025-07-05,Zecchetto Accessori,MAT_0254,3066,3066,1.0,3058.07,2025-07-17,2025-07-17,0,4
PO-00073,2025-07-06,Karteks Banja Luka,MAT_0080,5331,5331,0.52,2790.58,2025-07-10,2025-07-11,1,4
PO-01886,2025-07-06,Texon International,MAT_0138,1075,1075,2.53,2717.63,2025-07-24,2025-07-24,0,4
PO-01145,2025-07-06,Shenzhen Minghui,MAT_0187,16259,16259,0.04,651.43,2025-08-16,2025-08-16,0,4
